Seq#,Sequence Description,Tool #,G-Code Tool #,OOH,Holder,RTA #,Length control Dim,Diameter control dim,Cut Diameter,Gage Length,Tip (CR or Angle),T-description,LC
0,NC PRG: OO1228 | FILE NAME: CAM - SOL1-902195 REV A - Outlet Fitting  |  POSTED: 8-26-2026 13:36 | Est. Cycle Time: 0:11:24 | Machine: Brother SPEEDIO M300Xd1 | STOCK: X = 1.250 in | Y = 1.250 in | Z = 1.130 in,,,,,,,,,,,,
10,OP50  | 3D Adaptive Roughing3,A-61,T57,1.20,NBT30-SK13C-90 (85mm),1,4.55,,0.375,H57,,3/8 7FL Roughing EM,LC-72
10.1,OP50  | Rough Top flat ,A-61,T57,1.20,NBT30-SK13C-90 (85mm),1,4.55,,0.375,H57,,3/8 7FL Roughing EM,LC-72
15,OP50  | Drill1,D-113,T59,1.52,NBT30-SK13C-90 (85mm),80400,4.87,,0.1575,H59,140°,.1575 4mm drill 140 deg TSC,LC-120
20,OP50  | 3D Adaptive Roughing3 (2),A-61,T57,1.20,NBT30-SK13C-90 (85mm),1,4.55,,0.375,H57,,3/8 7FL Roughing EM,LC-72
25,OP50  | Flat1 (4),A-61,T58,1.20,NBT30-SK13C-90 (85mm),1,4.55,,0.375,H58,,3/8 7FL Roughing EM,LC-72
25.1,OP50  | 2D Contour Finish Outside #26 #17 #18,A-61,T58,1.20,NBT30-SK13C-90 (85mm),1,4.55,D58,0.375,H58,,3/8 7FL Roughing EM,LC-72
25.2,OP50  | 2D Contour Finish Stem #4,A-61,T58,1.20,NBT30-SK13C-90 (85mm),1,4.55,D58,0.375,H58,,3/8 7FL Roughing EM,LC-72
30,OP50  | Drill2,D-90,T60,1.06,NBT30-SK13C-90 (85mm),0,4.41,,0.136,H60,140°,.136Ø #29 Drill 140deg TSC,LC-97
35,OP50  | Drill COunter bores #23 #24,L-74,T61,1.10,NBT30-SK13C-90 (85mm),6,4.45,,0.375,H61,45°,.375 90DEG CHAMFER,LC-83
35.1,OP50  | Chamfer ,L-74,T61,1.10,NBT30-SK13C-90 (85mm),6,4.45,,0.375,H61,45°,.375 90DEG CHAMFER,LC-83
40,OP50  | Drill2 (2),D-90,T60,1.06,NBT30-SK13C-90 (85mm),0,4.41,,0.136,H60,140°,.136Ø #29 Drill 140deg TSC,LC-97
45,OP50  | Flat1 (2),A-61,T58,1.20,NBT30-SK13C-90 (85mm),1,4.55,,0.375,H58,,3/8 7FL Roughing EM,LC-72
45.1,OP50  | 2D Contour SKIM Stem #4 (2),A-61,T58,1.20,NBT30-SK13C-90 (85mm),1,4.55,D58,0.375,H58,,3/8 7FL Roughing EM,LC-72
50,OP50  | Blend1 #6 and #10 ,A-212,T62,0.50,NBT30-SK13C-60,978447,2.67,,0.125,H62,0.025,1/8 Ø Bull .025R 3/16LOC 4FL,LC-203
55,OP50  | Blend1 D23 and #24,A-212,T65,0.80,NBT30-SK13C-60,978447,2.97,,0.125,H65,0.025,1/8 Ø Bull .025R 3/16LOC 4FL,LC-203
55.1,OP50  | Blend1 #23 and #24,A-212,T65,0.80,NBT30-SK13C-60,978447,2.97,,0.125,H65,0.025,1/8 Ø Bull .025R 3/16LOC 4FL,LC-203
